trio;booth;musician;age;sex;instrument;yearsInstrument;yearsImpro;knowingA;knowingB;knowingC;influenceA;influenceB;influenceC;like;disturbed;goodEnd;goodEndbc;guessPromptA;guessPromptB;guessPromptC;likedImpro;nb_pedal_press;pedal_press;prompt_ecoute_Louise;prompt_heard;searchedEnd;searchedEndA;searchedEndAbc;searchedEndB;searchedEndBbc;searchedEndC;searchedEndCbc;take;knowing;influence;CONT;EMP;DIS;BESA;exp_part;experience;familiarity;trioTake;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC;endAmB;endAmC;endCmB;syncDiff;syncRange;goodEndAmB;goodEndAmC;goodEndCmB;dist_to_prompt;instrument_type;guessOwnPrompt;endOwn;endOthers;guessOwnPrompt_acc;dist_to_end;dist_to_others;type_h;shared_h;achievement;prompt_heard_A;prompt_heard_B;prompt_heard_C;MR_A;MR_B;MR_C;MR_glob;dprime;criterion;influenced
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;5.0; NaN;No-Goal;No-Goal;No-Goal;6.0;1.0;1.0;;No-Goal;1.0;; NaN;0.0; NaN;0.0; NaN;1;3.0;6.0;23.0;31.0;18.0;72.0;exp1;More;Familiar;101;8.330113378684809;18.384263038548802;8.66136054421769;232.03768707483;253.974829931973;261.75614512471697;8.330113378684809;261.75614512471697;;12.499924414210101;253.42603174603198;No-Goal;0;155.16498866;234.31498866;246.49498866;3;261.75614512471697;0.0;0.0;5.0;5.0;5.0;21.937142857143016;29.718458049886976;7.7813151927439606;19.812305366591318;29.718458049886976;0.0;0.0;0.0;;WIND;No-Goal;232.03768707483;257.865487528345;True;29.718458049886976;25.82780045351501;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;;1.0;1.0;1.0;;;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;6.0; NaN;No-Goal;No-Goal;No-Goal;6.0;1.0;1.0;;No-Goal;1.0;; NaN;1.0;j'ai sentit un leger decrescendo une legere detente dans l'intention;0.0; NaN ;2;3.0;6.0;23.0;31.0;18.0;72.0;exp1;More;Familiar;102;7.898095238095241;16.3768253968254;2.6929251700680297;251.43659863945598;251.72095238095199;293.769387755102;2.6929251700680297;293.769387755102;;28.127074829932;291.076462585034;No-Goal;0;199.52498866;232.34498866;-1.0;2;293.769387755102;2.51661147842358;0.0;6.0;1.0;4.0;0.28435374149600534;42.33278911564602;42.04843537415002;28.22185941043068;42.33278911564602;5.0;2.0;3.0;;WIND;No-Goal;251.43659863945598;272.745170068027;True;42.33278911564602;21.308571428571014;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;;1.0;1.0;1.0;;;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;4.0; NaN;No-Goal;No-Goal;No-Goal;5.0;1.0;0.0;;No-Goal;0.0;; NaN;1.0;Il a arr̻te de jouer;0.0; NaN;3;3.0;6.0;23.0;31.0;18.0;72.0;exp1;More;Familiar;103;9.061451247165529;3.63478458049887;12.890748299319698;212.535011337868;207.624172335601;216.621723356009;3.63478458049887;216.621723356009;;4.36142101284958;212.98693877551003;No-Goal;0;-1.0;186.98498866;211.12498866;2;216.621723356009;2.51661147842358;0.0;4.0;1.0;6.0;4.910839002267011;4.086712018140986;8.997551020407997;5.9983673469386645;8.997551020407997;3.0;2.0;5.0;;WIND;No-Goal;212.535011337868;212.12294784580502;True;4.086712018140986;0.4120634920629982;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;;1.0;1.0;1.0;;;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;5.0; NaN;No-Goal;No-Goal;No-Goal;6.0;1.0;1.0;;No-Goal;1.0;; NaN;1.0;j'ai cru comprendre qu'il etait au bout de son idee;0.0; NaN;4;3.0;6.0;23.0;31.0;18.0;72.0;exp1;More;Familiar;104;5.34290249433107;6.62798185941043;11.311337868480699;226.34063492063498;228.082675736961;228.627437641723;5.34290249433107;228.627437641723;;0.9438548752834491;223.284535147392;No-Goal;0;172.64498866;216.95498866;218.17498866;3;228.627437641723;1.0;0.0;5.0;4.0;3.0;1.7420408163260106;2.2868027210880086;0.544761904761998;1.5245351473920057;2.2868027210880086;1.0;2.0;1.0;226.34063492063498;WIND;No-Goal;226.34063492063498;228.355056689342;True;2.2868027210880086;2.014421768707024;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;;1.0;1.0;1.0;;;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;5.0;je ne sais pas;No-Goal;No-Goal;No-Goal;4.0;;;X;No-Goal;;;;;;;;5;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p1;More;Familiar;105;5.728027210884349;7.36231292517007;27.439682539682497;163.216099773243;162.891836734694;167.08231292517002;5.728027210884349;167.08231292517002;143.194988662132;2.68556311413455;161.354285714286;Me-Goal;1;0.0;0.0;0.0;3;23.8873242630386;0.577350269189626;4.33333333333333;5.0;5.0;6.0;0.32426303854899174;3.8662131519270133;4.190476190476005;2.79365079365067;4.190476190476005;0.0;1.0;1.0;20.021111111110997;WIND;No-Goal;163.216099773243;164.987074829932;True;3.8662131519270133;1.7709750566889966;Me-Goal;1.0;;No-Goal;Me-Goal;No-Goal;;0.0;1.0;0.5;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;un hasard heureux;No-Goal;No-Goal;Me-Goal;5.0;;;X;No-Goal;;;;;;;;6;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p1;More;Familiar;106;49.738;45.6532879818594;21.0521995464853;212.49310657596402;212.56693877551004;205.687573696145;21.0521995464853;212.56693877551004;170.444988662132;2.31773242630386;191.514739229025;Me-Goal;1;0.0;0.0;0.0;3;42.1219501133787;3.46410161513775;5.33333333333333;7.0;1.0;7.0;0.07383219954601827;6.805532879819026;6.879365079365044;4.586243386243363;6.879365079365044;6.0;0.0;6.0;42.048117913832016;WIND;No-Goal;212.49310657596402;209.12725623582753;True;0.07383219954601827;3.3658503401364896;Me-Goal;1.0;;No-Goal;No-Goal;Me-Goal;;1.0;1.0;1.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;fin collective;Me-Goal;Me-Goal;Me-Goal;7.0;;;MOI;Me-Goal;;;;;;;;7;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p1;More;Familiar;107;15.1575963718821;8.89383219954649;27.0;200.99324263038503;187.060907029478;209.909977324263;8.89383219954649;209.909977324263;167.394988662132;10.5886016628874;201.01614512471699;Me-Goal;2;0.0;0.0;0.0;3;42.5149886621315;1.1547005383792501;6.33333333333333;7.0;7.0;5.0;13.932335600907038;8.91673469387797;22.849070294785008;15.232713529856673;22.849070294785008;0.0;2.0;2.0;33.59825396825303;WIND;Me-Goal;200.99324263038503;198.4854421768705;True;8.91673469387797;2.507800453514534;Me-Goal;2.0;33.59825396825303;Me-Goal;Me-Goal;No-Goal;;1.0;0.0;0.5;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;fin assumee;Me-Goal;No-Goal;Me-Goal;7.0;;;MOI;Me-Goal;;;;;;;;8;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p1;More;Familiar;108;10.3285714285714;29.0;11.0;212.455192743764;232.78199546485297;182.44340136054402;10.3285714285714;232.78199546485297;164.784988662132;23.555132275132298;222.453424036281;Me-Goal;2;0.0;0.0;0.0;3;67.9970068027211;1.1547005383792501;6.0;7.0;7.0;5.0;20.326802721088967;30.011791383219986;50.33859410430895;33.559062736205966;50.33859410430895;0.0;2.0;2.0;47.670204081631994;WIND;Me-Goal;212.455192743764;207.61269841269848;True;20.326802721088967;4.842494331065524;Me-Goal;2.0;47.670204081631994;Me-Goal;No-Goal;Me-Goal;;1.0;1.0;1.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;3.0;agencement etrange;Me-Goal;Me-Goal;Me-Goal;4.0;;;MOI;Me-Goal;;;;;;;;9;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p2;More;Familiar;109;8.4827664399093;57.5721995464853;25.0052154195011;171.030340136054;178.998231292517;187.380181405896;8.4827664399093;187.380181405896;170.284988662132;8.24393046107331;178.89741496598597;Me-Goal;3;0.0;0.0;0.0;3;17.0951927437642;0.577350269189626;3.6666666666666696;3.0;4.0;4.0;7.967891156462997;16.34984126984199;8.381950113378991;10.899894179894659;16.34984126984199;1.0;1.0;0.0;0.7453514739219997;WIND;Me-Goal;171.030340136054;183.1892063492065;True;16.34984126984199;12.158866213152493;Me-Goal;3.0;0.7453514739219997;Me-Goal;Me-Goal;Me-Goal;;1.0;1.0;1.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;6.0;stephane a fait une jolie coda;Me-Goal;No-Goal;Me-Goal;5.0;;;MOI;Me-Goal;;;;;;;;10;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p2;More;Familiar;110;10.2956462585034;6.77764172335601;0.0;158.33219954648501;179.542993197279;159.644217687075;0.0;179.542993197279;149.564988662132;13.703189720332599;179.542993197279;Me-Goal;3;0.0;0.0;0.0;3;29.9780045351474;0.0;4.66666666666667;6.0;6.0;6.0;21.21079365079399;1.3120181405899984;19.89877551020399;14.140529100529326;21.21079365079399;0.0;0.0;0.0;8.767210884353005;WIND;Me-Goal;158.33219954648501;169.59360544217702;True;21.21079365079399;11.261405895692008;Me-Goal;3.0;8.767210884353005;Me-Goal;Me-Goal;Me-Goal;;0.0;1.0;0.5;1.744548938600471;0.6618460750523107;6.0
