trioTake;trio;take;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC
101;1;1;8.33011337868481;18.3842630385488;8.66136054421769;232.03768707483;253.974829931973;261.756145124717;8.33011337868481;261.756145124717;0;12.4999244142101;253.426031746032;0;0;155.16498866;234.31498866;246.49498866;3;261.756145124717;0;0;5;5;5
201;2;1;7.74943310657596;7.2665306122449;10;261.565578231293;251.92947845805;250.734195011338;7.2665306122449;261.565578231293;0;6.82249433106577;254.299047619048;0;0;260.23498866;255.20498866;254.17498866;3;261.565578231293;1.52752523165195;0;4;3;6
301;3;1;9.38371882086168;17.3236734693878;9.62916099773243;206.159501133787;202.28231292517;205.785351473923;9.38371882086168;206.159501133787;0;1.41711262282691;196.775782312925;0;0;207.26498866;195.91498866;163.46498866;3;206.159501133787;0;0;6;6;6
401;4;1;9;13.3048072562358;10.6787755102041;281.188979591837;275.801224489796;278.564943310658;9;281.188979591837;0;2.67059712774;272.188979591837;0;0;268.17498866;206.11498866;99.52498866;3;281.188979591837;0.577350269189626;0;5;6;6
501;5;1;8.2233560090703;18.2066666666667;18.2136507936508;227.546893424036;229.091383219955;209.444036281179;8.2233560090703;229.091383219955;0;7.06394557823129;220.868027210884;0;0;213.29498866;-1;175.75498866;2;229.091383219955;0.577350269189626;0;6;5;6
601;6;1;5.03759637188209;7.00312925170068;6;194.640680272109;159.99641723356;194.129841269841;5.03759637188209;194.640680272109;0;11.7183673469388;189.603083900227;0;0;165.50498866;159.94498866;196.97498866;3;194.640680272109;1;0;6;4;5
701;7;1;6.86643990929705;5.05755102040816;6.13709750566893;178.708888888889;182.981179138322;183.927029478458;5.05755102040816;183.927029478458;0;2.05466364323507;178.86947845805;0;0;94.80498866;171.66498866;163.99498866;3;183.927029478458;1.52752523165195;0;2;5;4
801;8;1;10.8932879818594;17.1710204081633;12.4527437641723;193.628979591837;192.792879818594;193.826530612245;10.8932879818594;193.826530612245;0;0.410400604686326;182.933242630386;0;0;98.04498866;196.34498866;193.60498866;3;193.826530612245;1;0;5;4;6
901;9;1;7.77637188208617;8;8.22634920634921;184.648390022676;185.548344671202;185.269977324263;7.77637188208617;185.548344671202;0;0.39277399848829;177.771972789116;0;0;122.57498866;183.12498866;-1;2;185.548344671202;1;0;5;4;3
1001;10;1;8.23034013605442;9.57428571428571;4.46789115646258;231.834149659864;234.759501133787;230.27768707483;4.46789115646258;234.759501133787;0;2.4690551776266;230.291609977324;0;0;190.39498866;-1;103.05498866;2;234.759501133787;1.52752523165195;0;6;3;4
1101;11;1;20.0863945578231;13.3167800453515;7.69854875283447;196.699002267574;222.659002267574;221.70716553288;7.69854875283447;222.659002267574;0;8.97061224489796;214.960453514739;0;0;-1;179.81498866;186.76498866;2;222.659002267574;1.73205080756888;0;4;7;7
1201;12;1;7.78734693877551;8.09365079365079;7.25056689342404;146.461179138322;151.961678004535;154.611655328798;7.25056689342404;154.611655328798;0;3.60015117157974;147.361088435374;0;0;-1;148.47498866;147.23498866;2;154.611655328798;1.73205080756888;0;5;2;5
102;1;2;7.89809523809524;16.3768253968254;2.69292517006803;251.436598639456;251.720952380952;293.769387755102;2.69292517006803;293.769387755102;0;28.127074829932;291.076462585034;0;0;199.52498866;232.34498866;-1;2;293.769387755102;2.51661147842358;0;6;1;4
202;2;2;23.2272562358277;22.2195464852608;23;375.970566893424;338.841950113379;372.127301587302;22.2195464852608;375.970566893424;0;13.6572940287226;353.751020408163;0;0;-1;272.80498866;294.09498866;2;375.970566893424;2.51661147842358;0;2;7;5
302;3;2;24.3347392290249;10.3604988662132;11.7453514739229;168.60485260771;170.114421768707;181.562403628118;10.3604988662132;181.562403628118;0;8.13517762660621;171.201904761905;0;0;150.51498866;-1;169.38498866;2;181.562403628118;0.577350269189626;0;5;4;4
402;4;2;14.2217233560091;2.73383219954649;13.0404081632653;233.855555555556;238.611746031746;242.20358276644;2.73383219954649;242.20358276644;0;3.97995464852608;239.469750566893;0;0;240.46498866;214.61498866;232.31498866;3;242.20358276644;0.577350269189626;0;6;6;7
502;5;2;1.09555555555556;18.1198639455782;1;202.74126984127;194.799319727891;189.97029478458;1;202.74126984127;0;6.90430839002269;201.74126984127;0;0;-1;-1;-1;0;202.74126984127;1;0;4;3;5
602;6;2;3;6.79859410430839;7.0081179138322;190.638775510204;188.525578231293;193.605034013605;3;193.605034013605;0;2.68190476190476;190.605034013605;0;0;190.43498866;180.37498866;192.14498866;3;193.605034013605;0;0;6;6;6
702;7;2;17.1101587301587;4;5;202.227437641723;196.48947845805;186.298639455782;4;202.227437641723;0;7.22225245653817;198.227437641723;0;0;-1;-1;150.04498866;1;202.227437641723;0;0;5;5;5
